State,Sector,Gender,Indicator,Main reason for Migration,Value
Jharkhand,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,7.5
Jharkhand,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,4.5
Jharkhand,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,6.2
Jharkhand,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,2.7
Jharkhand,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,2.9
Jharkhand,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,2.8
Jharkhand,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,-
Jharkhand,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.3
Jharkhand,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.1
Jharkhand,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,2.3
Jharkhand,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,-
Jharkhand,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,1.2
Jharkhand,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.8
Jharkhand,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.1
Jharkhand,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.6
Jharkhand,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
Jharkhand,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,-
Jharkhand,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,-
Jharkhand,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,-
Jharkhand,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.4
Jharkhand,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,-
Jharkhand,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.2
Jharkhand,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.2
Jharkhand,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,-
Jharkhand,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.1
Jharkhand,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,-
Jharkhand,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,-
Jharkhand,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,-
Jharkhand,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,0.8
Jharkhand,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,-
Jharkhand,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,0.4
Jharkhand,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,0.3
Jharkhand,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,-
Jharkhand,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,0.2
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,9.5
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,1.2
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,2.1
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,10.4
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,4.5
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,6.4
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,10.1
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,2.4
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,*,4
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,7.8
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,7.1
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,7.4
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,8.8
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,0.6
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,4.9
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,8.5
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,2.7
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Transfer of service/ contract,5.7
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,23.9
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,18.9
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,21.4
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,2.4
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,3.6
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,3
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,8.7
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,8.4
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,8.5
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,10.4
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,13.5
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,12
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,1.3
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,0.8
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,1.1
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,3.9
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,4.8
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,4.4
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",-
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.2
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.9
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.9
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.6
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.7
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,-
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,-
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,-
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,1.5
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,2
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,1.7
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,1.1
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,1.3
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,1.2
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,-
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,-
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,-
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,15.2
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,5.7
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,10.7
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,10.8
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,3.9
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,7.5
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,19.7
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,14.7
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,17.2
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,17.5
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,10.4
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,14.2
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,18.2
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,11.8
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,15.1
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",1.9
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",1
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",-
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.6
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.3
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,8.2
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,25
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,16.6
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,12.6
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,45.9
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,28.4
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,11.3
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,39.3
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,24.8
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,-
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0.1
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0.8
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,3.2
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,2
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0.6
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,2.2
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,1.4
Karnataka,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,4.7
Karnataka,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,1.2
Karnataka,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,2.9
Karnataka,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,5.4
Karnataka,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,3
Karnataka,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,4.3
Karnataka,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,5.2
Karnataka,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,2.4
Karnataka,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,3.9
